,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
56,56,56_0,COMPLETED,BoTorch,1.3311438279286507,0.5736938118934631,0.25129812955856323,0.10055287687047836,0.0023129125659356762,256,1,128,2,max
96,96,96_0,COMPLETED,BoTorch,1.3323172484674761,0.39771249890327454,0.2303285300731659,0.0460482451223558,0.0008623142931727188,128,1,128,2,max
62,62,62_0,COMPLETED,BoTorch,1.3328770050598728,0.3543020486831665,0.2132079303264618,0.06713254966082112,0.002890653627646398,128,1,128,2,max
15,15,15_0,COMPLETED,BoTorch,1.3355391529058256,0.5939693450927734,0.2552337646484375,0.05336724786508468,0.0027512483561071012,128,2,128,2,max
84,84,84_0,COMPLETED,BoTorch,1.340651946923425,0.4195477068424225,0.23722581565380096,0.10131239145994186,0.0013933639717288245,128,2,128,2,max
34,34,34_0,COMPLETED,BoTorch,1.3409320907366853,0.39641278982162476,0.2259594202041626,0.04809894322627975,0.0021649787536862494,128,2,128,2,max
74,74,74_0,COMPLETED,BoTorch,1.3498914130632915,0.28645697236061096,0.19139739871025085,0.04099162013059662,0.002235142827477882,256,1,128,2,max
39,39,39_0,COMPLETED,BoTorch,1.349967900062761,0.4372238218784332,0.2431279867887497,0.10424641183307094,0.007752907542873111,128,2,128,2,max
59,59,59_0,COMPLETED,BoTorch,1.3516165879104407,0.32180920243263245,0.1788468062877655,0.039169211120855425,0.0008772648748663627,128,2,128,2,max
47,47,47_0,COMPLETED,BoTorch,1.3563152657401176,0.2700805962085724,0.18849284946918488,0.14431496877824107,0.013408679854745876,256,1,128,2,max
92,92,92_0,COMPLETED,BoTorch,1.361232542402802,0.6781907677650452,0.23568245768547058,0.04464890128902851,0.0015764254323175331,128,1,128,2,max
68,68,68_0,COMPLETED,BoTorch,1.3612388564694313,0.38679489493370056,0.21915598213672638,0.05560304272559381,0.003152230288235884,128,1,128,2,max
65,65,65_0,COMPLETED,BoTorch,1.363698356454411,0.34104496240615845,0.19620950520038605,0.04904404655098915,0.0008851709224401335,128,1,128,2,max
21,21,21_0,COMPLETED,BoTorch,1.367442897731258,0.28333765268325806,0.17305822670459747,0.0771038681268692,0.009172757030187346,128,2,128,2,max
45,45,45_0,COMPLETED,BoTorch,1.3686716563759311,0.241226926445961,0.165045365691185,0.04984585580325896,0.0018844566342124214,128,1,128,2,max
53,53,53_0,COMPLETED,BoTorch,1.369857276879972,0.5399011969566345,0.22411325573921204,0.08875249494468013,0.0015850774585809964,256,1,128,2,max
42,42,42_0,COMPLETED,BoTorch,1.3766910215058634,0.41668832302093506,0.24950182437896729,0.09341271197603594,0.008367502243913983,128,2,128,2,max
90,90,90_0,COMPLETED,BoTorch,1.377441280551495,0.6033272743225098,0.23038436472415924,0.04659503818519654,0.000885413267869646,128,1,128,2,max
44,44,44_0,COMPLETED,BoTorch,1.3831216946484581,0.6145048141479492,0.2182607203722,0.049050221880597454,0.0023909664601342064,128,1,128,2,max
86,86,86_0,COMPLETED,BoTorch,1.3836479857563972,0.29737457633018494,0.18448516726493835,0.07337485181708489,0.0008888514806645022,128,1,128,2,max
63,63,63_0,COMPLETED,BoTorch,1.3893578389299013,0.5547179579734802,0.22898247838020325,0.03930805482330822,0.0007862504804796708,128,1,128,2,max
93,93,93_0,COMPLETED,BoTorch,1.3901045151775884,0.36469975113868713,0.2018730789422989,0.05304489813504681,0.0016566173634502495,128,1,128,2,max
26,26,26_0,COMPLETED,BoTorch,1.3918288642119976,0.378736674785614,0.21602566540241241,0.07310719295374808,0.007405200516839979,128,1,128,2,max
50,50,50_0,COMPLETED,BoTorch,1.3968600039820998,0.32258903980255127,0.19150741398334503,0.03869676833311396,0.0001410764718678908,128,1,128,2,max
33,33,33_0,COMPLETED,BoTorch,1.3995199169843429,0.28879645466804504,0.19262497127056122,0.12155590759169671,0.011373899473350706,128,1,128,2,max
60,60,60_0,COMPLETED,BoTorch,1.4011868219221792,0.6155445575714111,0.22713059186935425,0.08680235955022997,0.0034341585740206783,256,1,128,2,max
17,17,17_0,COMPLETED,BoTorch,1.4071951796931605,0.2773589789867401,0.18790477514266968,0.11916050218766736,0.012933279987121966,256,2,128,2,max
